date,close,open,low,high
07-Feb-2002,21.8853,21.8853,21.8853,21.8853
08-Feb-2002,21.3599,21.3599,21.3599,21.3599
11-Feb-2002,21.0687,21.0687,21.0687,21.0687
12-Feb-2002,20.4992,20.4992,20.4992,20.4992
13-Feb-2002,19.8492,19.8492,19.8492,19.8492
14-Feb-2002,19.4210,19.4210,19.4210,19.4210
15-Feb-2002,19.4079,19.4079,19.4079,19.4079
18-Feb-2002,19.7248,19.7248,19.7248,19.7248
19-Feb-2002,22.1693,22.1693,22.1693,22.1693
20-Feb-2002,21.5711,21.5711,21.5711,21.5711
21-Feb-2002,21.2052,21.2052,21.2052,21.2052
22-Feb-2002,21.5240,21.5240,21.5240,21.5240
25-Feb-2002,20.6777,20.6777,20.6777,20.6777
26-Feb-2002,20.3379,20.3379,20.3379,20.3379
27-Feb-2002,19.4567,19.4567,19.4567,19.4567
28-Feb-2002,19.1790,19.1790,19.1790,19.1790
01-Mar-2002,18.2948,18.2948,18.2948,18.2948
04-Mar-2002,17.7737,17.7737,17.7737,17.7737
05-Mar-2002,18.1816,18.1816,18.1816,18.1816
06-Mar-2002,17.6592,17.6592,17.6592,17.6592
07-Mar-2002,17.5331,17.5331,17.5331,17.5331
08-Mar-2002,17.1061,17.1061,17.1061,17.1061
11-Mar-2002,17.4791,17.4791,17.4791,17.4791
12-Mar-2002,17.1488,17.1488,17.1488,17.1488
13-Mar-2002,16.8416,16.8416,16.8416,16.8416
14-Mar-2002,16.4946,16.4946,16.4946,16.4946
15-Mar-2002,15.4182,15.4182,15.4182,15.4182
